PostcodeDistrict,EstimatedDogPopulation,Area Name,District
CA2,"7,015.15",Carlisle,North West England 
CA20,"1,320.13",Carlisle,North West England 
CA21,311.0342951,Carlisle,North West England 
CA22,"3,671.38",Carlisle,North West England 
CA23,561.3777522,Carlisle,North West England 
CA24,289.616917,Carlisle,North West England 
CA25,"1,744.29",Carlisle,North West England 
CA26,"1,045.42",Carlisle,North West England 
CA27,594.6663863,Carlisle,North West England 
CA28,"5,238.92",Carlisle,North West England 
CA3,"8,451.37",Carlisle,North West England 
CA4,"6,317.91",Carlisle,North West England 
CA5,"5,455.17",Carlisle,North West England 
CA6,"9,220.62",Carlisle,North West England 
CA7,"9,178.34",Carlisle,North West England 
CA8,"7,827.03",Carlisle,North West England 
CA9,"2,087.14",Carlisle,North West England 
CB1,"8,050.78",Cambridge,East of England
CB10,"4,128.74",Cambridge,East of England
CB11,"4,619.90",Cambridge,East of England
CB2,"1,968.84",Cambridge,East of England
CB21,"8,213.80",Cambridge,East of England
CB22,"4,616.52",Cambridge,East of England
CB23,"12,676.37",Cambridge,East of England
CB24,"11,428.66",Cambridge,East of England
CB25,"7,515.39",Cambridge,East of England
CB3,"6,919.73",Cambridge,East of England
CB4,"7,520.93",Cambridge,East of England
CB5,"7,312.05",Cambridge,East of England
CB6,"5,532.09",Cambridge,East of England
CB7,"4,827.96",Cambridge,East of England
CB8,"27,001.27",Cambridge,East of England
CB9,"5,214.75",Cambridge,East of England
CF10,"1,085.55",Cardiff,Wales
CF11,"3,288.68",Cardiff,Wales
CF14,"13,918.97",Cardiff,Wales
CF15,"2,693.57",Cardiff,Wales
CF23,"6,449.55",Cardiff,Wales
CF24,"3,439.15",Cardiff,Wales
CF3,"4,745.80",Cardiff,Wales
CF31,"11,435.12",Cardiff,Wales
CF32,"3,597.08",Cardiff,Wales
CF33,"3,180.95",Cardiff,Wales
CF34,"4,697.90",Cardiff,Wales
CF35,"3,805.10",Cardiff,Wales
CF36,"4,740.72",Cardiff,Wales
CF37,"2,510.27",Cardiff,Wales
CF38,"1,776.09",Cardiff,Wales
CF39,"1,779.88",Cardiff,Wales
CF40,752.722313,Cardiff,Wales
CF41,363.171446,Cardiff,Wales
CF42,429.6096951,Cardiff,Wales
CF43,908.483622,Cardiff,Wales
CF44,"1,963.87",Cardiff,Wales
CF45,"4,175.39",Cardiff,Wales
CF46,"1,306.53",Cardiff,Wales
CF47,"4,306.83",Cardiff,Wales
CF48,"4,883.61",Cardiff,Wales
CF5,"11,276.49",Cardiff,Wales
CF61,"1,581.83",Cardiff,Wales
CF62,"4,499.66",Cardiff,Wales
CF63,"2,182.62",Cardiff,Wales
CF64,"3,579.95",Cardiff,Wales
CF71,"1,951.35",Cardiff,Wales
CF72,"6,162.60",Cardiff,Wales
CF81,"1,804.16",Cardiff,Wales
CF82,"1,918.31",Cardiff,Wales
CF83,"6,968.74",Cardiff,Wales
CH1,"6,298.01",Chester,North West England 
CH2,"10,588.64",Chester,North West England 
CH3,"9,154.74",Chester,North West England 
CH4,"9,508.75",Chester,North West England 
CH41,"2,226.11",Chester,North West England 
CH42,"4,829.53",Chester,North West England 
CH43,"4,527.30",Chester,North West England 
CH44,"4,180.13",Chester,North West England 
CH45,"5,346.12",Chester,North West England 
CH46,"3,319.88",Chester,North West England 
CH47,"3,073.28",Chester,North West England 
CH48,"3,203.50",Chester,North West England 
CH49,"4,407.30",Chester,North West England 
CH5,"22,068.61",Chester,North West England 
CH6,"5,059.73",Chester,North West England 
CH60,"5,282.55",Chester,North West England 
CH61,"5,129.26",Chester,North West England 
CH62,"2,345.14",Chester,North West England 
CH63,"5,875.26",Chester,North West England 
CH64,"11,749.05",Chester,North West England 
CH65,"3,124.24",Chester,North West England 
CH66,"10,202.84",Chester,North West England 
CH7,"18,775.56",Chester,North West England 
CH8,"12,416.10",Chester,North West England 
CM0,"5,367.35",Chelmsford,East of England
CM1,"8,620.94",Chelmsford,East of England
CM11,"1,943.48",Chelmsford,East of England
CM12,"3,159.56",Chelmsford,East of England
CM13,"4,145.68",Chelmsford,East of England
CM14,"1,499.32",Chelmsford,East of England
CM15,"4,708.75",Chelmsford,East of England
CM16,"7,070.98",Chelmsford,East of England
CM17,"3,111.79",Chelmsford,East of England
CM18,928.9620364,Chelmsford,East of England
CM19,"1,930.17",Chelmsford,East of England
CM2,"12,993.42",Chelmsford,East of England
CM20,"6,489.99",Chelmsford,East of England
CM21,"4,024.52",Chelmsford,East of England
CM22,"3,887.75",Chelmsford,East of England
CM23,"11,216.60",Chelmsford,East of England
CM24,"2,953.57",Chelmsford,East of England
CM3,"11,655.36",Chelmsford,East of England
CM4,"3,886.39",Chelmsford,East of England
CM5,"4,433.72",Chelmsford,East of England
CM6,"8,248.15",Chelmsford,East of England
CM7,"7,382.45",Chelmsford,East of England
CM77,"3,272.32",Chelmsford,East of England
CM8,"5,472.67",Chelmsford,East of England
CM9,"11,108.29",Chelmsford,East of England
CO1,"5,148.92",Colchester,East of England
CO10,"12,376.63",Colchester,East of England
CO11,"1,431.64",Colchester,East of England
CO12,"3,070.72",Colchester,East of England
CO13,654.9926244,Colchester,East of England
CO14,330.3624197,Colchester,East of England
CO15,"4,313.13",Colchester,East of England
CO16,"4,249.74",Colchester,East of England
CO2,"5,965.20",Colchester,East of England
CO3,"4,207.70",Colchester,East of England
CO4,"6,974.92",Colchester,East of England
CO5,"9,387.11",Colchester,East of England
CO6,"7,910.28",Colchester,East of England
CO7,"7,502.16",Colchester,East of England
CO8,"1,831.79",Colchester,East of England
CO9,"8,967.49",Colchester,East of England
CR0,"9,023.52",Croydon,Greater London
CR2,"3,792.03",Croydon,Greater London
CR3,"9,790.48",Croydon,Greater London
CR4,"3,345.29",Croydon,Greater London
CR5,"4,731.00",Croydon,Greater London
CR6,819.0295212,Croydon,Greater London
CR7,841.0464617,Croydon,Greater London
CR8,"2,142.55",Croydon,Greater London
CT1,"6,941.16",Canterbury,South East England
CT10,"2,502.44",Canterbury,South East England
CT11,"1,905.89",Canterbury,South East England
CT12,"3,813.40",Canterbury,South East England
CT13,"2,874.56",Canterbury,South East England
CT14,"11,910.74",Canterbury,South East England
CT15,"3,981.57",Canterbury,South East England
CT16,"6,660.07",Canterbury,South East England
CT17,"5,270.21",Canterbury,South East England
CT18,"2,339.53",Canterbury,South East England
CT19,"7,266.91",Canterbury,South East England
CT2,"2,622.34",Canterbury,South East England
CT20,"4,795.67",Canterbury,South East England
CT21,"2,107.68",Canterbury,South East England
CT3,"6,794.52",Canterbury,South East England
CT4,"4,340.29",Canterbury,South East England
CT5,"9,455.73",Canterbury,South East England
CT6,"13,508.33",Canterbury,South East England
CT7,"2,507.15",Canterbury,South East England
CT8,"1,304.91",Canterbury,South East England
CT9,"5,802.41",Canterbury,South East England
CV1,"2,548.92",Coventry,West Midlands
CV10,"5,397.24",Coventry,West Midlands
CV11,"6,873.36",Coventry,West Midlands
CV12,"2,237.18",Coventry,West Midlands
CV13,"1,677.81",Coventry,West Midlands
CV2,"3,502.50",Coventry,West Midlands
CV21,"6,153.93",Coventry,West Midlands
CV22,"6,344.48",Coventry,West Midlands
CV23,"3,795.71",Coventry,West Midlands
CV3,"5,127.13",Coventry,West Midlands
CV31,"5,990.45",Coventry,West Midlands
CV32,"10,236.06",Coventry,West Midlands
CV33,"2,187.67",Coventry,West Midlands
CV34,"4,777.06",Coventry,West Midlands
CV35,"6,526.58",Coventry,West Midlands
CV36,"3,185.90",Coventry,West Midlands
CV37,"10,280.23",Coventry,West Midlands
CV4,"6,856.11",Coventry,West Midlands
CV47,"4,270.13",Coventry,West Midlands
CV5,"7,777.69",Coventry,West Midlands
CV6,"9,323.88",Coventry,West Midlands
CV7,"7,035.12",Coventry,West Midlands
CV8,"7,448.21",Coventry,West Midlands
CV9,"6,627.43",Coventry,West Midlands
CW1,"11,984.32",Crewe,North West England 
CW10,"1,786.86",Crewe,North West England 
CW11,"5,413.97",Crewe,North West England 
CW12,"16,378.70",Crewe,North West England 
CW2,"5,982.54",Crewe,North West England 
CW3,"2,178.70",Crewe,North West England 
CW4,"2,827.66",Crewe,North West England 
CW5,"14,301.84",Crewe,North West England 
CW6,"4,801.06",Crewe,North West England 
CW7,"5,017.55",Crewe,North West England 
CW8,"3,031.65",Crewe,North West England 
CW9,"3,883.77",Crewe,North West England 
DA1,"6,373.50",Dartford,Greater London
DA10,851.2306987,Dartford,Greater London
DA11,"6,670.92",Dartford,Greater London
DA12,"1,464.66",Dartford,Greater London
DA13,"4,933.02",Dartford,Greater London
DA14,"8,280.24",Dartford,Greater London
DA15,"2,257.06",Dartford,Greater London
DA16,"2,148.88",Dartford,Greater London
DA17,"1,013.95",Dartford,Greater London
DA18,263.653455,Dartford,Greater London
DA2,"3,087.22",Dartford,Greater London
DA3,"6,950.32",Dartford,Greater London
DA4,"2,136.57",Dartford,Greater London
DA5,"2,584.91",Dartford,Greater London
DA6,891.6013526,Dartford,Greater London
DA7,"2,332.13",Dartford,Greater London
DA8,"1,827.82",Dartford,Greater London
DA9,"1,509.92",Dartford,Greater London
DD1,834.1299928,Dundee,Scotland
DD10,"10,188.13",Dundee,Scotland
DD11,"4,270.08",Dundee,Scotland
DD2,"6,050.44",Dundee,Scotland
DD3,"4,678.29",Dundee,Scotland
DD4,"5,863.06",Dundee,Scotland
DD5,"11,592.93",Dundee,Scotland
DD6,"2,943.05",Dundee,Scotland
DD7,"4,007.08",Dundee,Scotland
DD8,"11,034.05",Dundee,Scotland
DD9,"1,953.28",Dundee,Scotland
DE1,"6,789.23",Derby,East Midlands
DE11,"5,506.53",Derby,East Midlands
DE12,"3,063.06",Derby,East Midlands
DE13,"18,447.08",Derby,East Midlands
DE14,"8,501.47",Derby,East Midlands
DE15,"7,384.59",Derby,East Midlands
DE21,"9,651.14",Derby,East Midlands
DE22,"4,970.38",Derby,East Midlands
DE23,"7,773.42",Derby,East Midlands
DE24,"7,918.63",Derby,East Midlands
DE3,"5,361.11",Derby,East Midlands
DE4,"15,620.19",Derby,East Midlands
DE45,"3,731.12",Derby,East Midlands
DE5,"7,327.55",Derby,East Midlands
DE55,"7,579.84",Derby,East Midlands
DE56,"13,466.41",Derby,East Midlands
DE6,"9,686.08",Derby,East Midlands
DE65,"12,845.38",Derby,East Midlands
DE7,"7,923.91",Derby,East Midlands
DE72,"1,690.93",Derby,East Midlands
DE73,"1,523.66",Derby,East Midlands
DE74,"3,285.20",Derby,East Midlands
DE75,"5,196.04",Derby,East Midlands
DG1,"10,736.69",Dumfries,Scotland
DG10,"1,154.17",Dumfries,Scotland
DG11,"10,606.23",Dumfries,Scotland
DG12,"6,954.28",Dumfries,Scotland
DG13,"3,307.85",Dumfries,Scotland
DG14,687.6192023,Dumfries,Scotland
DG16,"1,482.22",Dumfries,Scotland
DG2,"3,404.93",Dumfries,Scotland
DG3,"6,033.01",Dumfries,Scotland
DG4,"5,287.96",Dumfries,Scotland
DG5,"2,588.56",Dumfries,Scotland
DG6,"1,231.39",Dumfries,Scotland
DG7,"9,194.95",Dumfries,Scotland
DG8,"5,943.54",Dumfries,Scotland
DG9,"5,741.87",Dumfries,Scotland
DH1,"8,341.49",Durham,North East England
DH2,"8,144.81",Durham,North East England
DH3,"6,981.71",Durham,North East England
DH4,"3,903.76",Durham,North East England
DH5,"1,841.69",Durham,North East England
DH6,"3,319.73",Durham,North East England
DH7,"6,244.74",Durham,North East England
DH8,"3,807.20",Durham,North East England
DH9,"2,540.12",Durham,North East England
DL1,"4,960.41",Dalington,North East England
DL10,"5,724.85",Dalington,North East England
DL11,"5,730.84",Dalington,North East England
DL12,"5,902.37",Dalington,North East England
DL13,"1,644.82",Dalington,North East England
DL14,"8,041.13",Dalington,North East England
DL15,"2,639.04",Dalington,North East England
DL16,"2,175.23",Dalington,North East England
DL17,"1,422.01",Dalington,North East England
DL2,"6,630.03",Dalington,North East England
DL3,"3,819.16",Dalington,North East England
DL4,"1,244.48",Dalington,North East England
DL5,"4,061.47",Dalington,North East England
DL6,"9,439.99",Dalington,North East England
DL7,"5,909.41",Dalington,North East England
DL8,"19,944.88",Dalington,North East England
DL9,"2,748.48",Dalington,North East England
DN1,"1,240.71",Doncaster,Yorkshire and Humberside
DN10,"2,153.73",Doncaster,Yorkshire and Humberside
DN11,"1,749.25",Doncaster,Yorkshire and Humberside
DN12,"1,706.76",Doncaster,Yorkshire and Humberside
DN14,"9,738.39",Doncaster,Yorkshire and Humberside
DN15,"13,640.53",Doncaster,Yorkshire and Humberside
DN16,"3,158.83",Doncaster,Yorkshire and Humberside
DN17,"7,101.00",Doncaster,Yorkshire and Humberside
DN18,"3,122.30",Doncaster,Yorkshire and Humberside
DN19,"1,537.77",Doncaster,Yorkshire and Humberside
DN2,"3,572.07",Doncaster,Yorkshire and Humberside
DN20,"3,826.27",Doncaster,Yorkshire and Humberside
DN21,"2,446.74",Doncaster,Yorkshire and Humberside
DN22,"7,132.61",Doncaster,Yorkshire and Humberside
DN3,"3,111.58",Doncaster,Yorkshire and Humberside
DN31,"3,081.69",Doncaster,Yorkshire and Humberside
DN32,"4,826.46",Doncaster,Yorkshire and Humberside
DN33,"1,575.90",Doncaster,Yorkshire and Humberside
DN34,"2,072.81",Doncaster,Yorkshire and Humberside
DN35,"3,307.56",Doncaster,Yorkshire and Humberside
DN36,"4,007.59",Doncaster,Yorkshire and Humberside
DN37,"2,980.46",Doncaster,Yorkshire and Humberside
DN38,639.0489039,Doncaster,Yorkshire and Humberside
DN39,"1,153.64",Doncaster,Yorkshire and Humberside
DN4,"4,585.06",Doncaster,Yorkshire and Humberside
DN40,"1,814.95",Doncaster,Yorkshire and Humberside
DN41,"1,270.42",Doncaster,Yorkshire and Humberside
DN5,"4,481.32",Doncaster,Yorkshire and Humberside
DN6,"4,725.62",Doncaster,Yorkshire and Humberside
DN7,"1,284.06",Doncaster,Yorkshire and Humberside
DN8,"3,076.84",Doncaster,Yorkshire and Humberside
DN9,"5,946.46",Doncaster,Yorkshire and Humberside
DT1,"8,448.16",Dorchester,South West England
DT10,"7,999.38",Dorchester,South West England
DT11,"16,398.51",Dorchester,South West England
DT2,"9,067.81",Dorchester,South West England
DT3,"7,695.21",Dorchester,South West England
DT4,"9,077.35",Dorchester,South West England
DT5,"3,708.30",Dorchester,South West England
DT6,"7,846.28",Dorchester,South West England
DT7,734.314571,Dorchester,South West England
DT8,"3,457.94",Dorchester,South West England
DT9,"8,535.81",Dorchester,South West England
DY1,"4,477.28",Dudley,West Midlands
DY10,"10,194.80",Dudley,West Midlands
